英文,詞性,中文,備註
free-fall,"n. / adj.","自由落體（的）","A free-fall sensor is an accelerometer used to detect if a system has been dropped and is falling."
safety measures,"n., pl.","安全措施","It provides safety measures such as parking the head of a hard disk to prevent a head crash."
hard disk,"n.","硬碟","The accelerometer parks the head of a hard disk to prevent a head crash upon impact."
upon,"prep.","在…之上；一…就","The device parks the hard disk head upon impact."
impact,"n.","衝擊；碰撞","The accelerometer parks the hard disk head upon impact."
data logger,"n.","數據紀錄儀","Data loggers monitor handling operations for shipping containers."
monitor,"v. / n.","監控、監測 (v.)；監視器 (n.)","Data loggers monitor handling operations for shipping containers."
handling,"n.","搬運；操作；處理","The sensor is used to monitor handling operations for shipping."
calculate,"v.","計算","The length of time in free fall is used to calculate the height of drop."
estimate,"v. / n.","估計；估算；預估","Accelerometers are used to estimate the shock to the package."
consumer,"n. / adj.","消費者 (n.)；消費的 (adj.)","This device is included in many common computer and consumer electronic products."
mechanical,"adj.","機械的；機械式的","A gyroscope is a mechanical device comprised of a rotor and gimbals."
comprised of,"phr.","由……組成","A gyroscope is comprised of a rotor and two or more gimbals."
rotor,"n.","轉子；旋轉的構件","The rotor is installed to spin about one axis."
gimbal,"n.","平衡環；萬向節；使羅盤針平衡之環","A gyroscope is comprised of a rotor and two or more gimbals."
mounted,"v., p.p.","被安裝；被固定於","The axis is mounted on an inner gimbal."
inner,"adj.","內部的；裡面的","The inner gimbal is spinning about another axis."
spinning,"v., -ing","旋轉中的；自轉的","The inner gimbal is spinning about another axis."
outer,"adj.","外部的；外面的","The outer gimbal or the gyroscope frame is mounted so as to pivot about an axis."
frame,"n.","框架；骨架；外殼結構","The outer gimbal or the gyroscope frame is mounted so as to pivot."
pivot,"v. / n.","繞樞軸旋轉 (v.)；樞軸、支點 (n.)","The gyroscope frame is mounted so as to pivot about an axis."
support,"n. / v.","支撐結構 (n.)；支撐、支持 (v.)","The axis is in its own plane determined by the support."
simultaneously,"adv.","同時地","The rotor simultaneously spins about one axis and is capable of oscillating about the two other axes."
oscillating,"v., -ing","擺動的；振盪的","The rotor is capable of oscillating about the two other axes."
advent,"n.","出現；來臨；問世","The advent of electric motors made it possible for developing gyrocompasses."
functional,"adj.","功能的；可運作的；實用的","The first functional gyrocompass was patented in 1904."
gyrocompass,"n.","陀螺儀羅盤","Electric motors made it possible for developing gyrocompasses."
patent,"n. / v. / adj.","專利、專利權 (n.)；取得專利權 (v.)；有專利的 (adj.)","The first functional gyrocompass was patented in 1904."
inventor,"n.","發明人；發明家","In early 20th century, inventors attempted to use gyroscopes as the basis for early navigational systems."
basis,"n.","基礎；基準 (複數 bases)","Inventors used gyroscopes as the basis for early navigational systems."
navigational systems,"n., pl.","導航系統","Inventors used gyroscopes as the basis for early navigational systems."
principles,"n., pl.","原理；原則","Similar principles were later employed in the development of inertial guidance systems."
guidance,"n.","制導；導引；指引","Similar principles were employed in the development of inertial guidance systems."
ballistic missiles,"n., pl.","彈道飛彈","Similar principles were employed in the development of inertial guidance systems for ballistic missiles."
prime,"adj.","主要的；首要的；最重要的","During WWII, the gyroscope became the prime component for aircraft."
miniaturize,"v.","使小型化","After the war, the race to miniaturize gyroscopes resulted in midget gyroscopes."
guided,"adj.","導引的；制導的","Miniaturized gyroscopes were developed for guided missiles and weapons navigation systems."
manufacturing,"n. / adj.","製造；製造業","The race to miniaturize resulted in the development and manufacturing of midget gyroscopes."
midget,"n. / adj.","極小的個體 (n.)；極小的 (adj.)","The race to miniaturize resulted in the development of midget gyroscopes."
resulted in,"phr., v.","導致；造成 (某結果)","The race to miniaturize gyroscopes resulted in the development of midget gyroscopes."
compass,"n.","羅盤；指南針","In addition to being used in compasses, gyroscopes have been introduced into consumer electronics."
rotation,"n.","旋轉；自轉","The gyroscope allows for the calculation of orientation and rotation."
incorporated,"v., p.p.","被併入；被納入","Designers have incorporated gyroscopes into modern technology."
integration,"n.","整合；整併；結合","The integration of the gyroscope allows for more accurate recognition of movement."
accurate,"adj.","精確的；準確的","The gyroscope allows for more accurate recognition of movement within 3D space."
recognition,"n.","辨識；識別","The integration allows for more accurate recognition of movement within 3D space."
previous,"adj.","先前的；以前的","More accurate recognition than the previous lone accelerometer."
lone,"adj.","單獨的；單一的","Better than the previous lone accelerometer."
frequently,"adv.","經常地；頻繁地","Gyroscopes are frequently combined with accelerometers."
combined,"v., p.p.","被結合；被合併","Gyroscopes are frequently combined with accelerometers for more robust sensing."
robust,"adj.","強健的；穩健的；可靠的","Gyroscopes combined with accelerometers provide more robust direction- and motion-sensing."
direction- and motion-sensing,"n. / adj.","方向與運動（位移）感應","More robust direction- and motion-sensing requires combining both sensors."
integrate,"v.","整合；使結合","Nintendo has integrated a gyroscope into the Wii Remote controller."
