英文,詞性,中文,備註
confusion,n,困惑，糊塗;迷惑不解;混淆,"(n) a situation in which people do not understand what is happening, what they should do or who someone or something is, 
Ex: There seems to be some confusion over who is actually giving the talk
例如：似乎有人搞不清楚到底是誰在演講。"
chest,n,胸膛，胸部;胸腔,"(n) the upper front part of the body of humans and some animals, between the stomach and the neck, containing the heart and lungs, 
Ex: He was shot in the chest at point blank range.
例：他被近距離射中胸部。"
irritability,n,易怒性情，暴脾氣,"(n) the quality of becoming annoyed very easily, 
Ex: The drug can cause irritability
例如：這種藥物會引起煩躁。"
consciousness,n,意識;感覺;覺悟,"(n) the state of understanding and realizing something, 
Ex: Her consciousness that she's different makes her feel uneasy
例如：她意識到自己與眾不同，這讓她感到不安。"
anxiety,n,焦慮,"(n) a feeling of worry, nervousness, or fear, 
Ex: Long illness can cause anxiety in some patients.
例如：長期患病會導致一些患者焦慮。"
depression,n,憂鬱，抑鬱;消沉，沮喪,"(n) the state of feeling very unhappy and without hope for the future, 
Ex: I was overwhelmed by feelings of depression
例如：我當時感到非常沮喪。"
disorder,n,混亂，淩亂，雜亂無章,"(n) a state of untidiness or lack of organization, 
Ex: The whole office was in a state of disorder.
例：整個辦公室一片混亂。"
neurological,a,神經的;神經系統的,"(a) relating to nerves, 
Ex: Alzheimer's disease is a neurological disorder.
例如：阿茲海默症是一種神經系統疾病。"
complication,n,"1.併發症
2.使情況複雜化的事物；複雜化","(n) an extra medical problem that makes it more difficult to treat an existing illness, 併發症
(n) 使情況複雜化的事物；複雜化
Ex: If there are no complications, the doctor says that she'll be able to come home within two weeks.
例如：如果沒有併發症，醫生說她兩週內就能回家。"
stroke,n,中風,"(n) a sudden change in the blood supply to a part of the brain, sometimes causing a loss of the 
ability to move particular parts of the body, 
Ex: She suffered/had a stroke that left her unable to speak.
例如：她中風了，導致她無法說話。"
inflammation,n,炎（症）,"(n) a red, painful, and often swollen area in or on a part of your body,
Ex: Aspirin reduces pain and inflammation
例如：阿斯匹靈可以減輕疼痛和發炎。"
delirium,n,（因發燒或精神錯亂而）神志不清;語無倫次,"(n) a state of being unable to think or speak clearly because of fever or mental confusion, 

Ex: fever accompanied by delirium
例如：高燒伴有神志不清"
recover,v,康復；恢復.,"(v) to become well again after an illness, 
Ex: Most people recover without hospital treatment.
例：大多數人無需住院治療即可康復。"
treatment,n,對待;待遇;處理,"(n) the way you deal with or behave towards someone or something, 
Ex: Peter gets special treatment because he knows the boss.
例如：彼得因為認識老闆而受到特殊待遇。"
oxygen,n,氧氣,"(n) a gas in the air that people and animals need to breathe, 
Ex: Some seriously ill patients require oxygen.
例如：有些重症患者需要吸氧氣。"
respiratory,a,呼吸的,"(a) relating to breathing, "
respiratory failure,n,呼吸衰竭.,"(n) a dangerous condition in which the lungs cannot provide enough oxygen to the body, 
Ex: Respiratory failure needs immediate medical care.
例如：呼吸衰竭需要立即就醫。"
acute,a,十分嚴重的,"(a) If a bad situation is acute, it causes severe problems or damage, 
Ex: She felt acute embarrassment at his behaviour.
例如：她對他的行為感到非常尷尬。"
syndrome,n,併發症，症候群，綜合症狀,"(n) a combination of medical problems that shows the existence of a particular disease or mental condition, 
Ex: Early diagnosis of the syndrome is difficult, but it is important to begin treatment as soon as possible
例如：這種綜合徵的早期診斷很困難，但盡快開始治療至關重要。"
sepsis,n,敗血症，膿毒症，膿毒病,"(n) a severe medical condition in which bacteria enter the blood after an operation or accident, "
septic shock,n,敗血症性休克，感染性休克，膿毒性休克,"(n) 
Ex: She was already in septic shock and died five days later
例：她當時已經處於敗血性休克狀態，五天後過世。"
thromboembolism,n,血栓栓塞,"(n) the blocking of a blood vessel by a blood clot that travels through the bloodstream, 
Ex: Doctors watch for thromboembolism in severe cases.
例如：醫師會在嚴重病例中密切觀察血栓栓塞的發生情形。"
kidney,n,腎，腎臟,"(n) either of a pair of small organs in the body that take away waste matter from the blood to produce urine, 
Ex: kidney failure
例如：腎衰竭"
age,n,年齡,(n) 
age,v,衰老，使…顯得蒼老,"(v) If someone ages or something ages them, they look older, 

Ex: She's aged since the last time we met.
例如：自從上次見面以來，她老了不少。"
underlying,a,暗含的;深層的;潛在的,"(a) real but not immediately obvious, 
Ex: And what might be the underlying significance of these supposedly random acts?
例如：這些看似隨機的行為背後可能隱藏著什麼意義？"
lung,n,肺，肺部,"(n) either of the two organs in the chest with which people and some animals breathe, 
Ex: lung cancer
例：肺癌"
diabetes,n,糖尿病,"(n) a disease in which the body cannot control the level of sugar in the blood, 
Ex: Diabetes is diagnosed with a blood test.
例：糖尿病是透過血液檢查診斷的。"
obesity,n,肥胖,
infect,v,（疾病）傳染，感染,
hospitalization,n,"送…住院
治療",
mutation,n,（基因的）突變， 變異,
variant,n,變體；變種；變形,
emerge,v,出現，浮現;露 出,
designate,v,指定，選定;委派,
announce,v,（尤指公開地）宣 佈，宣告，通告,
transmissible,a,（疾病等）可傳播 的,
claim,v,聲稱;宣稱;斷言;主張,
proportion,n,部分;份額,
precaution,n,預防，預防措施,
distance,v,保持距離,
mask,n,面具，面罩,
ventilate,v,使通風;使空氣流通,
bent,a,彎曲的;不直的;不平的,
elbow,n,肘;（衣服的）肘部,
tissue,n,"面紙
（動物或植物的細胞）組織",
molecular,a,分子的,
detect,v,偵測；檢測出.,
confirm infection,phr,確認感染,
PCR,n,聚合酶連鎖反應,
sample,n,樣本,
sampling,v,抽樣,
swab,n,棉花棒,
amplifying,v,擴大；增強,
exposure,n,暴露 ；接觸,
antigen,n,抗原,
protein,n,蛋白質,
reliable,a,可靠的,
circulate,v,循環;流通;傳遞;散佈,
isolation,n,隔離；分 離；孤獨,
quarantine,n,隔離檢疫期,
prevent,v,阻止，妨礙； 預防,
contact,v,（透過 電話或寫電子郵件等）聯繫，聯絡,
protection,n,保護；防護,
immune,a,免疫的,
recognize,v,認出，認識;識別,
bacteria,n,細菌,
vaccination,n,接種疫苗,
preventive,a,防止的，預防的,
sneeze,v,打噴嚏,
efficacy,n,功效，效力，效能,
dose,n,劑量,
vaccinate,v,給…接種疫苗,
chill guy,n,"1.對問題或爭論漠不關心，保持冷靜的人。
2.冷靜、隨和，在壓力下也能保持鎮定的人。",
shortage,n,缺乏，缺少,
curse,n,"1.咒語，詛咒，魔咒
2.禍根，禍因；禍害",
